V1,V2,Ben Simmon,,
Alex McCombs,"Oakland, CA",California,,
"Swaggy P ¬©®π¶¬©‚®π¶¨""Salem"," OR""",Oregon,,
Anu Ahluwalia,"New York, NY",New†York,,
Kevin Williams,"Cleveland, OH",Ohio,,
Charles Rogers,"Fort Myers, FL",Florida,,
Liam Bell.,"Melbourne, Victoria",Virginia,,
b2g21,"Philadelphia, PA",Pennsylvania,,
James Kessee,"Fort Worth, TX",Texas,,
JDFeyock,"Lancaster, PA",Pennsylvania,,
Nathan,"Santa Rosa, CA",California,,
tatiana,"Chicago, IL",Illinois,,
Stuart Matthewman,Sydney,Florida,,
Calvin_ZHANG,"Toledo, OH",Ohio,,
charlie walker,"Commerce, TX",Texas,,
Calvin,"Blackwood, NJ",New jersey,,
Prouty,"St. John, ND ",North Dakota,,
chrystian gomes,"Rio de Janeiro, Brazil",Indiana,,
Garrett,"Hummelstown, PA",Pennsylvania,,
Thomas,"West Chester, PA",Pennsylvania,,
Brandon Zukovsky,Jersey,Virginia,,
Brett J. Manley,"Melbourne, Victoria",Virginia,,
Ismael Andr Quimbando,Angola,New York,,
Malik,"Hendersonville, TN",Tennessee,,
The Curry G.O.A.T,"Long Island, NY",New†York,,
Eddie Hopper,"Philadelphia, PA",Pennsylvania,,
"Malia ¬©®π¶¬©‚®π¶¨""King of Prussia"," PA""",Pennsylvania,,
Marcus,Beaverton,Alabama,,
Itzel Torres,"Brooklyn, NY",New†York,,
Brian Tucker,"Chesterbrook, PA",Pennsylvania,,
Jamar Gregory,"Philadelphia, PA",Pennsylvania,,
BISH,"Denver, CO",Colorado,,
Andrew Nam,NC,North†Carolina,,
Nick Brown,"College Park, MD",Maryland,,
Dustin Santos,"South Lake Tahoe, CA",California,,
"Breshawn ¬©®π¶¬©‚®π¶¨""Norfolk"," VA""",Virginia,,
Dom Leyden,"San Francisco, CA",California,,
Derek Shuman,"State College, PA",Pennsylvania,,
Flodrap,Lyon,Mississippi,,
Moussa Sane,"Sanford, FL",Florida,,
Gwen Kerr Katzenmoyer,"Hershey, PA",Pennsylvania,,
Kar,"Bethlehem, PA",Pennsylvania,,
Tim Broome,"Denton, TX",Texas,,
CraigB,Sydney,Florida,,
Kylie Brown,"Kilsyth, Melbourne",Florida,,
Bob Sanislo,"Mount Holly, NJ",New jersey,,
Eugene D.A.Engram,"Oneonta, AL",Alabama,,
"Monnnne t¬©®π¶¬©‚®π¶¨""Philadelphia"," PA""",Pennsylvania,,
HG¬©®π¶¬©‚®π¶± ,"South Bend, IN",Indiana,,
Crydshn,"Los Angeles, CA",California,,
Alx,"Philadelphia, PA",Pennsylvania,,
Charbel Kairouz,"Australia, Melbourne",Florida,,
Alex Volpato,"Melbourne, Victoria",Virginia,,
_jaydeholland,"Geelong, Victoria",Virginia,,
Daniel Beecham,"Philadelphia, PA",Pennsylvania,,
Albion FC,"Sunshine, Melbourne",Florida,,
Nick Merryfull,"Melbourne, Victoria",Virginia,,
Tyler Neave,"Spring City, PA",Pennsylvania,,
Amanda Sands,"Philadelphia, PA",Pennsylvania,,
Marcos Ramirez,"Stanton, TX",Texas,,
Bianca Lima,Brazil,Indiana,,
Lordgama,"North Wales, PA",Pennsylvania,,
Nathaniel Martin,"Lancaster, PA",Pennsylvania,,
Sue Markham,"Cedar City, UT",Texas,,
Erin Marie,"Philadelphia, PA",Pennsylvania,,
Landon  Willis,Atlanta,New York,,
James Blair-Holt,"Melbourne, Victoria",Virginia,,
deluxe,"Fitzroy, Melbourne",Florida,,
Art Love,"Philadelphia, PA",Pennsylvania,,
eb.,"San Marcos, TX",Texas,,
Kat The Model,"Los Angeles, CA",California,,
David Fransen,"New Orleans, LA",California,,
Laurie Cousins,Sydney,Florida,,
Rob Gagliardi,"Tampa, FL",Florida,,
Mike Ryan,Melbourne,Florida,,
Josh,NJ,New jersey,,
Natalie Peters,Sydney,Florida,,
aye4life,"Melbourne, Victoria",Virginia,,
Platform Financial,Melbourne ,Florida,,
Dave,Melbourne,Florida,,
Owen Doolan,Melbourne,Florida,,
Doc Jones,"Wonthaggi, Victoria",Virginia,,
Cam,Florida,Puerto Rico,,
Mr Brightside,Rosario,Puerto Rico,,
brad jewiss,Sydney,Florida,,
marquese cox,"Detroit ,Michigan ",North Dakota,,
Johnny Nett,Earth,Texas,,
Timothy Major,"Keizer, OR",Oregon,,
Tim Whitty,Melbourne,Florida,,
Brad Watson,"Erskineville, Sydney",Florida,,
jasonbav,"Bracknell, England",Arkansas,,
Alejandro Rodriguez,"Appleton, WI",Wisconsin,,
Dane Oddy,Perth,North Dakota,,
Dax,"New York, NY",New†York,,
Stone,Melbourne ,Florida,,
Danny Monks,Thomastown,Mississippi,,
Didi,"Renton, WA",Washington,,
Suzy,"Istanbul, Turkey",North Carolina,,
PC,"Melbourne, Victoria",Virginia,,
Nathan Davidson,Brisbane,California,,
Dean Fulco,"Melbourne, Victoria",Virginia,,
DFSFrontRunner,"Los Angeles, CA",California,,
kev,"Philadelphia, PA",Pennsylvania,,
Phillip Mathew,"London, England",Arkansas,,
Jerome J. Smith Jr.,"Coatesville, PA",Pennsylvania,,
Paula Peralta,Sydney,Florida,,
Henry Sibly,Perth,North Dakota,,
Riley Bentley,"Philadelphia, PA",Pennsylvania,,
Tjo,Sydney,Florida,,
Mark Fleming,Sheffield,Massachusetts,,
Lisa MacLean,Perth,North Dakota,,
Bud,"Texas City, TX",Texas,,
Mel Palling,"Melbourne, Victoria",Virginia,,
Lex,"Salem, OR",Oregon,,
Epo,Melbourne,Florida,,
hemmer a. hoid,"Levittown, PA",Pennsylvania,,
Cory,Earth,Texas,,
"Q ¬©®π¶¬©‚®π¶¨""Huntsville"," AL""",Alabama,,
Ben,Melbourne,Florida,,
Andrew,"Portland, OR",Oregon,,
Todd McClellan,Melbourne,Florida,,
BC,Sydney ,Florida,,
Marluuuu,Melbourne,Florida,,
Taylor Firman,"Denver, CO",Colorado,,
Ivar The Boneless,"Houston, TX",Texas,,
.,"San Francisco, CA",California,,
Brad Westaway,"Melbourne, Victoria",Virginia,,
Daniel Mercado,"San Pedro, Laguna",New Mexico,,
shane simmons,"Bensalem, PA",Pennsylvania,,
Xavier Smith,"Melbourne, Victoria",Virginia,,
Jess Christy,"Melbourne, Victoria",Virginia,,
shelkolee-kovski,China ,Texas,,
Magoo,"386 Daytona Beach, FL ",Florida,,
Damo,Brisbane,California,,
Jordan Wilkes,"Ballarat, Victoria",Virginia,,
Mikey Mulzz,"Village Shires, PA",Pennsylvania,,
Liam O'Grady,"Werribee, Melbourne",Florida,,
Ryan Lewy,Melbourne,Florida,,
Me,Melbourne,Florida,,
Lew,"Oxon Hill, MD",Maryland,,
Tahlia Sinclair,"Melbourne, Victoria",Virginia,,
sammyjw,"Wyndham Vale, Melbourne",Florida,,
Alysha,"Philadelphia, PA",Pennsylvania,,
-,"Melbourne, Victoria",Virginia,,
Rigs,Melbourne,Florida,,
Luke Goodwin,Melbourne,Florida,,
Tara Murray,Melbourne,Florida,,
ka®πo,"South Reston, VA",Virginia,,
Cheik Diallo,"Valhalla, NY",New†York,,
Mike E,Earth,Texas,,
LennyGrim,"Charlotte, NC",North†Carolina,,
Lord Noah Sloane,"Howell, NJ",New jersey,,
Olivia Simmons,"Philadelphia, PA",Pennsylvania,,
Eddie Bachalani,Sydney,Florida,,
Megan Nicole Walling,"Clemson, SC",South carolina,,
Mischa Solomon King,"Richmond, Melbourne",Florida,,
neva_long,"San Antonio, TX",Texas,,
Xfaeder,"San Francisco, CA",California,,
Papa Prod,"Baton Rouge, LA",California,,
Rhea Powell,"Philadelphia, PA",Pennsylvania,,
Ben,Melbourne,Florida,,
Matt Devine,"Melbourne, Victoria",Virginia,,
Bobby Samples,"Howell, MI",Michigan,,
Jonah Stolp,"Aberdeen, SD",South dakota,,
Rebekah Rathbun,"Chandler, AZ",Arizona,,
Dominic Sullivan,Sydney,Florida,,
David,"Tacoma, WA",Washington,,
Big C,Syria,Virginia,,
Lorne Love,"Lorne, Victoria",Virginia,,
Riley Grenfell,"Ballarat, Victoria",Virginia,,
Jordon [birdskill],Perth,North Dakota,,
caela,"Philadelphia, PA",Pennsylvania,,
Wesley Murry,"Lexington, KY",Kentucky,,
Dennis Reinknecht,NJ,New jersey,,
Theo Miokovic,Melbourne,Florida,,
iremember2017,"Melbourne, Victoria",Virginia,,
Joe Hogan,Victoria,Virginia,,
ALMIGHTY LEE (YGS),"Fort Smith, AR",Arkansas,,
peter q,"Skye, Melbourne",Florida,,
Southeast Pennsylvania Law Group,"Philadelphia, PA",Pennsylvania,,
Katie Fisher,"Rutledge, PA",Pennsylvania,,
Zdenko,Melbourne,Florida,,
Leigh Kohlmann,Perth ,North Dakota,,
Jose Perez,"Dallas, TX",Texas,,
Alex Beis,"Memphis, TN",Tennessee,,
Dan Roszkowski,"Rittenhouse, Philadelphia",New York,,
Tim Myers,Philadelphia,New York,,
Josh Cutter,Melbourne,Florida,,
Renz,"Sewell, NJ",New jersey,,
jorgen,"Swan Hill, Victoria",Virginia,,
kingmoney,"Philadelphia, PA",Pennsylvania,,
Darin Rodriguez,"Denver , CO",Colorado,,
Nathan Jellett,Melbourne,Florida,,
Finsta,Brisbane,California,,
Andrew Wolstenholme,Somerville,Massachusetts,,
Chris Beattie,Melbourne,Florida,,
Cole Paterson,"Presque Isle, ME",Maine,,
G =0¢Èllzo,"Rock Island, IL",Illinois,,
Matt Lyons,"Palo Alto, CA",California,,
Hayden pleming,"Wonga Park, Victoria",Virginia,,
Adam Michael Gross,"Willow Street, PA",Pennsylvania,,
Rachel Astheimer,"Harrisonburg, VA",Virginia,,
"¬©®π¶¬©‚®π¶¬ig Muney¬©®π¶¬©‚®π¶¨""Blytheville"," AR""",Arkansas,,
Dan Eagan,"Wentzville, MO",Missouri,,
Kandy $ kassie,"NY, NY",New†York,,
Derek Boeve," Minneapolis, MN",Minnesota,,
murf,"Lynbrook, NY",New†York,,
Oumar4Real,"Silverthorne, CO",Colorado,,
"¬©®π¶¬©‚®π¶¨""South End"," Boston """,Massachusetts,,
Matt Strosser,PA,Pennsylvania,,
William Morrissey,"Melbourne, Victoria",Virginia,,
Quinn,"Tulsa, OK",Oklahoma,,
Burt Bobain,"BEA$T COA$T, MA",Massachusetts,,
Topp,Michigan,North Dakota,,
Hashim,"Corvallis, Oregon",Ohio,,
Theresa Coleman,Broadview,Montana,,
Mark Fruehling,"Colorado Springs, CO",Colorado,,
Gerald Richard,"Youngsville, LA",California,,
Ryan Fasciano,"Peoria, AZ ",Arizona,,
Cameron White,"Greenville, SC",South carolina,,
Jake Todd,Wilmington,Massachusetts,,
Brendan Butler,Pittsburgh,Pennsylvania,,
WIIITNESS,Pittsburgh ,Pennsylvania,,
Mark Behan,"New Rochelle, NY",New†York,,
Sriram,"Phoenix, AZ",Arizona,,
jimmi phoenix,"Philadelphia, PA",Pennsylvania,,
Kwame,Toronto ,Ohio,,
alan trammell,"Frankenmuth, MI",Michigan,,
Alex & Oriana (A GUY IS TWEETING YOU IDIOTS),"San Antonio, TX ",Texas,,
Andrew #TheProcess,"Citi Field, NY",New†York,,
Omar Arriaga,"Stone Park, IL",Illinois,,
Melbourne News,"Melbourne, Victoria",Virginia,,
Perry Aye ¬©®π¶¬©‚®π¶¨Home,Pennsylvania,,,
"Sauce¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Philadelphia"," PA""",Pennsylvania,,
Jamie Wallis,Melbourne,Florida,,
Michael,"Runnemede, NJ",New jersey,,
Lil'Fujimac,"Seattle, WA",Washington,,
Pat Kerr,Chichester,New Hampshire,,
krish,"Cleveland, OH",Ohio,,
Johnathan Thurston,Townsville,North Carolina,,
Lisa Hasker,"Melbourne, Victoria",Virginia,,
#KapVP,Boston,Massachusetts,,
TPclampsGod,"Calgary, Alberta",Virginia,,
Arman,"Boston, MA",Massachusetts,,
Drew March,"Loganvile, GA",Georgia,,
t,"Mesa, AZ",Arizona,,
Jordan Garcia,"Manhattan, NY",New†York,,
Darius Jones,"Zanesville, OH",Ohio,,
Kenny,Earth,Texas,,
rEEZ,Las Vegas,New Mexico,,
Tom Dunn,"Philadelphia, PA",Pennsylvania,,
Tim Jernigan,"Philadelphia, PA",Pennsylvania,,
Sage Angell,"Great Barrington, MA",Massachusetts,,
Shatonga (Shay),"Philadelphia, PA",Pennsylvania,,
she.chocolate._,"Bear, DE",Delaware,,
Larry Davis,"Baltimore, MD",Maryland,,
Renny28,"Philadelphia, PA",Pennsylvania,,
Emily Moore,"Philadelphia, PA",Pennsylvania,,
Scott D,"Philadelphia, PA",Pennsylvania,,
deon2kdemon ,"Nashville, TN",Tennessee,,
Dino D. DeFino,"Jefferson, NJ",New jersey,,
Chris@RotoRadar,"Danville, PA",Pennsylvania,,
Derek Hazelton,"Philadelphia, PA",Pennsylvania,,
Bryant Hilbert,Indiana,Pennsylvania,,
Glen Huttenlocker,"Hutchinson, MN",Minnesota,,
James Mcdaniel,"Suffolk, VA",Virginia,,
Austin Hartsell,"Bridgewater, MA",Massachusetts,,
yeshi kalden,"Queens, NY",New†York,,
Justin,"New Jersey | East Lansing, MI",Michigan,,
Not the real British Sideman,"Los Angeles, CA",California,,
evanlube,"Lawndale, CA",California,,
Brittany Hurley,"Woodbury, NJ",New jersey,,
rylee,"Philadelphia, PA",Pennsylvania,,
currychicken30,"Norristown, PA",Pennsylvania,,
Austin Mitchell,"Cedar City, UT",Texas,,
"butterfromypsi ¬©®π¶¬©‚®π¶¨""Ypsilanti"," MI""",Michigan,,
MorataSquad,"London, England",Arkansas,,
trippie_izael,"Cudahy, CA",California,,
Adrienne McDowell,"Denver, CO",Colorado,,
stefanie_marie,"Philadelphia, PA",Pennsylvania,,
renaultphanor,"Trenton, NJ",New jersey,,
Albert G,"Sacramento, CA",California,,
"Tony ¬©®π¶¬©‚®π¶¨""Philadelphia"," PA""",Pennsylvania,,
Daniel.c04,"Spalding, England",Arkansas,,
Adrin Morn,Bolivia,North Carolina,,
Adrian Adams,"Devon, PA",Pennsylvania,,
Thiago Meneses,New York,New York,,
Melanie,"Philadelphia, PA",Pennsylvania,,
Eli,"Monroe, NY",New†York,,
m7md mostafa,Egypt,Arkansas,,
Christian Schwartz,"Minersville, PA",Pennsylvania,,
VEZ,"East Harlem, Manhattan",Montana,,
Jamie Ulrich,"San Francisco, CA",California,,
Haley Carvalho,"Medina, OH",Ohio,,
"meta P	","Chicago, IL",Illinois,,
Jake Prestileo,"Pickerington, OH",Ohio,,
&ya//em&,"Cleveland, OH",Ohio,,
Ter Basa,"Philadelphia, PA",Pennsylvania,,
Adem Saricaoglu,Melbourne,Florida,,
Chuck Eads,"Yeadon, PA",Pennsylvania,,
Ray,"Islington, London",West Virginia,,
S,NY,New†York,,
youngjuice,"Prospect Park, PA",Pennsylvania,,
Erik Meyers,"Yorketown, NJ",New jersey,,
Marcellius Morrison,"Lancaster, SC",South carolina,,
Brooke Moore,"Collegeville, PA",Pennsylvania,,
Thurl Label,"Philadelphia, PA",Pennsylvania,,
Tyler Parsley,"Okawville, IL",Illinois,,
Beezlebubba,"Philadelphia, PA",Pennsylvania,,
Greg Jones,"Fort Collins, CO",Colorado,,
mr. gacho,"Baltimore, MD",Maryland,,
Kobe,"Bendigo, Victoria",Virginia,,
Mr. Pete,NJ ,New jersey,,
deandre,"Detroit, MI",Michigan,,
Anthony,"Inglewood, CA",California,,
Archer Mckay,"Brooklyn, NY",New†York,,
"Anthony¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Henderson"," NV""",Nevada,,
Profound Angel,"Mill Basin, Brooklyn, NY",New†York,,
Terrance,"Lorain, OH",Ohio,,
Leah Kelly - Ella Rose,"Lovejoy, GA",Georgia,,
"Bonnie ¬©®π¶¬©‚®π¶¨""El Paso"," TX""",Texas,,
Harel Zoberman,"VIRGINIA BEACH,VA",Virginia,,
Jaylen Amacker,"Lawton, OK",Oklahoma,,
Luis Ruiz,"Odessa, TX",Texas,,
Zyan Alford,"Hampton, VA",Virginia,,
"merry madison ¬©®π¶¬©‚®π¶¨""Pottsville"," PA""",Pennsylvania,,
j,Canada,Kentucky,,
Arryn Peterson,"Utica, MS",Mississippi,,
"Kevin ¬©®π¶¬©‚®π¶¨""Las Vegas"," NV""",Nevada,,
MyPress Solventless,"Colorado Springs, CO",Colorado,,
Bad Luck Bootsy,"Philadelphia, PA",Pennsylvania,,
Styers Rosario,"Charlotte, NC",North†Carolina,,
Cameron Johnson,"Pittsburgh, PA",Pennsylvania,,
Craig Smith,"Denver, CO",Colorado,,
tucker boyer,"Stamford, CT",Connecticut,,
Cody Thompson,"Moscow, PA",Pennsylvania,,
domminican d,"Philadelphia, PA",Pennsylvania,,
AJ Rowe,"Cincinnati, OH",Ohio,,
Trevor Wishart,"Armadale, Melbourne",Florida,,
"1_.jmir¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Chester"," PA""",Pennsylvania,,
brandon,Ohio,Illinois,,
Ruben,"Hunting Park, Philadelphia",New York,,
TONY,"Lebanon, PA",Pennsylvania,,
Cam Moyer,"Kennesaw, GA",Georgia,,
lul_gift,"Philadelphia, PA",Pennsylvania,,
Matt Brimelow,"Warrington, England",Arkansas,,
Dani Zeini,"Melbourne, Victoria",Virginia,,
NomaDad,"Boca Raton, FL",Florida,,
Tyler,Jacksonville,Vermont,,
Patrick,"Richmond, VA",Virginia,,
Jim Lowry,"Fairless Hills, PA",Pennsylvania,,
H_money,Philadelphia,New York,,
Ricky,"New York, NY",New†York,,
val,"McAllen, TX",Texas,,
Keelan Waters,"Sligo, Ireland",West Virginia,,
Kindo Art,"New York, New York",New York,,
