 ,Player
1,Karl-Anthony Towns
2,Jahlil Okafor
3,Kristaps Porzingis
4,Devin Booker
5,D'Angelo Russell
6,Emmanuel Mudiay
7,Myles Turner
8,Stanley Johnson
9,Frank Kaminsky
10,Bobby Portis
11,Willie Cauley-Stein
12,Josh Richardson
13,Justise Winslow
14,Trey Lyles
15,Mario Hezonja
16,Rondae Hollis-Jefferson
17,Jarell Martin
18,Richaun Holmes
19,Jerian Grant
20,Norman Powell
21,Larry Nance Jr
22,Cameron Payne
23,Chris McCallum
24,Tyus Jones
25,Rakeem Christmas
26,Darrun Hilliard
27,Anthony Brown
28,Delon Wright
29,Justin Anderson
30,Joe Young
31,Kelly Oubre
32,Montrezl Harrell
33,Rashad Vaughn
34,R.J. Hunter
35,Terry Rozier
36,Kevon Looney
37,Jordan Mickey
38,Pat Connaughton
39,Branden Dawson
40,Sam Dekker
41,Buddy Hield
42,Malcolm Brogdon
43,Jamal Murray
44,Brandon Ingram
45,Marquese Chriss
46,Skal Labissiere
47,Caris LeVert
48,Ivica Zubac
49,Isaiah Whitehead
50,Tyler Ulis
51,Jaylen Brown
52,Timothe Luwawu-Cabarrot
53,Domantas Sabonis
54,Taurean Prince
55,Georgios Papagiannis
56,Paul Zipser
57,Cheick Diallo
58,Denzel Valentine
59,Juan Hernangomez
60,Pascal Siakam
61,Patrick McCaw
62,Thon Maker
63,Kay Felder
64,Malik Beasley
65,Kris Dunn
66,Malachi Richardson
67,Dejounte Murray
68,Dragan Bender
69,Wade Baldwin
70,Henry Ellenson
71,Jakob Poeltl
72,Chinanu Onuaku
73,DeAndre' Bembry
74,Jake Layman
75,A.J.Hammons
76,Demetrius Jackson
77,Damian Jones
78,Joel Bolomboy
79,Deyonta Davis
80,Diamond Stone
81,Brice Johnson
82,Stephen Zimmerman
83,Georges Niang
84,Machael Gbinije
85,Ben Bentil
